log_file	samples	exact_match
logs/eval_base_1024_6256076_0.out	20000	0.64875
logs/eval_base_1024_6256076_1.out	20000	0.6554
logs/eval_base_1024_6256076_2.out	20000	0.6548
logs/eval_base_1024_6256076_3.out	19441	0.6465202407283576
logs/eval_base_1536_6256095_0.out	20000	0.68705
logs/eval_base_1536_6256095_1.out	20000	0.6924
logs/eval_base_1536_6256095_2.out	20000	0.69035
logs/eval_base_1536_6256095_3.out	19441	0.6862815698780927
logs/eval_check_5928345.out	10	1.0
logs/eval_large_1024_6256148_0.out	20000	0.78665
logs/eval_large_1024_6256148_1.out	20000	0.78685
logs/eval_large_1024_6256148_2.out	20000	0.7858
logs/eval_large_1024_6256148_3.out	19441	0.782830101332236
logs/eval_large_1536_6256167_0.out	20000	0.8039
logs/eval_large_1536_6256167_1.out	20000	0.8055
logs/eval_large_1536_6256167_2.out	20000	0.80755
logs/eval_large_1536_6256167_3.out	19441	0.8070572501414536
logs/eval_samll_512_6256049_0.out	20000	0.15935
logs/eval_samll_512_6256049_1.out	20000	0.16005
logs/eval_samll_512_6256049_2.out	20000	0.1598
logs/eval_samll_512_6256049_3.out	19441	0.1576050614680315
logs/eval_small_1024_6256060_0.out	20000	0.2994
logs/eval_small_1024_6256060_1.out	20000	0.3006
logs/eval_small_1024_6256060_2.out	20000	0.2987
logs/eval_small_1024_6256060_3.out	19441	0.2985443135641171
logs/eval_small_1536_6256064_0.out	20000	0.367
logs/eval_small_1536_6256064_1.out	20000	0.36865
logs/eval_small_1536_6256064_2.out	20000	0.3689
logs/eval_small_1536_6256064_3.out	19441	0.36325291908852425
logs/eval_xl_1024_3ep_6256222_0.out	20000	0.83695
logs/eval_xl_1024_3ep_6256222_1.out	20000	0.84005
logs/eval_xl_1024_3ep_6256222_2.out	20000	0.83845
logs/eval_xl_1024_3ep_6256222_3.out	19441	0.8364796049585926
logs/eval_xl_1024_5941346_0.out	20000	0.8376
logs/eval_xl_1024_5941346_1.out	20000	0.83895
logs/eval_xl_1024_5941346_2.out	20000	0.83925
logs/eval_xl_1024_5941346_3.out	19441	0.8374054832570341
logs/eval_xl_1536_10ep_6256324_0.out	20000	0.883
logs/eval_xl_1536_10ep_6256324_1.out	20000	0.8834
logs/eval_xl_1536_10ep_6256324_2.out	20000	0.88195
logs/eval_xl_1536_10ep_6256324_3.out	19441	0.880458824134561
logs/eval_xl_1536_3ep_6256299_0.out	20000	0.85185
logs/eval_xl_1536_3ep_6256299_1.out	20000	0.8506
logs/eval_xl_1536_3ep_6256299_2.out	20000	0.8521
logs/eval_xl_1536_3ep_6256299_3.out	19441	0.8516537215163829
logs/eval_xl_1536_6040351_0.out	20000	0.8499
logs/eval_xl_1536_6040351_1.out	20000	0.8487
logs/eval_xl_1536_6040351_2.out	20000	0.8508
logs/eval_xl_1536_6040351_3.out	19441	0.8468700169744354
